source_user_id,source_username,source_instance,target_user_id,created_at,snapshot,edge_type
109347539858252951,ChemicalEyeGuy,mstdn.science,109708237432595394,2024-08-23T13:17:29.000Z,Snapshot 3 — Current State (2024–2026),reply
109347539858252951,ChemicalEyeGuy,mstdn.science,109268719176972105,2024-08-22T09:29:13.000Z,Snapshot 3 — Current State (2024–2026),reply
109347539858252951,ChemicalEyeGuy,mstdn.science,109292370720611400,2024-08-20T23:36:19.000Z,Snapshot 3 — Current State (2024–2026),reply
109347539858252951,ChemicalEyeGuy,mstdn.science,109286276392768056,2024-08-20T13:45:56.000Z,Snapshot 3 — Current State (2024–2026),reply
109347539858252951,ChemicalEyeGuy,mstdn.science,111906993806764477,2024-08-18T11:29:33.000Z,Snapshot 3 — Current State (2024–2026),reply
109347539858252951,ChemicalEyeGuy,mstdn.science,111172164888257006,2024-08-16T21:10:30.000Z,Snapshot 3 — Current State (2024–2026),reply
109347539858252951,ChemicalEyeGuy,mstdn.science,109291762930372942,2024-08-15T21:00:37.000Z,Snapshot 3 — Current State (2024–2026),reply
109347539858252951,ChemicalEyeGuy,mstdn.science,112960445709417317,2024-08-15T17:41:29.000Z,Snapshot 3 — Current State (2024–2026),reply
109347539858252951,ChemicalEyeGuy,mstdn.science,109295170091258196,2024-08-15T17:38:38.000Z,Snapshot 3 — Current State (2024–2026),reply
109303853824128212,sshann,mas.to,112402593826902699,2024-08-15T02:45:09.000Z,Snapshot 3 — Current State (2024–2026),reply
109347539858252951,ChemicalEyeGuy,mstdn.science,109305421141990866,2024-08-14T19:36:35.000Z,Snapshot 3 — Current State (2024–2026),reply
109347539858252951,ChemicalEyeGuy,mstdn.science,109264134082542872,2024-08-12T20:59:47.000Z,Snapshot 3 — Current State (2024–2026),reply
109347539858252951,ChemicalEyeGuy,mstdn.science,4998,2024-08-12T12:41:36.000Z,Snapshot 3 — Current State (2024–2026),reply
109347539858252951,ChemicalEyeGuy,mstdn.science,109383119852227633,2024-08-12T09:36:14.000Z,Snapshot 3 — Current State (2024–2026),reply
109347539858252951,ChemicalEyeGuy,mstdn.science,109298794734217309,2024-08-11T13:16:12.000Z,Snapshot 3 — Current State (2024–2026),reply
109347539858252951,ChemicalEyeGuy,mstdn.science,109419237235183174,2024-05-18T21:47:33.000Z,Snapshot 3 — Current State (2024–2026),reply
109346581246125194,DopeGhoti,infosec.exchange,111591556693647860,2024-03-22T23:08:04.000Z,Snapshot 3 — Current State (2024–2026),reply
109290472977934599,teixi,mastodon.social,111767410342600522,2024-01-20T19:23:34.000Z,Snapshot 3 — Current State (2024–2026),reply
109308465890473229,bornach,masto.ai,109245719173426466,2023-10-20T05:48:26.000Z,Snapshot 2 — Post Settling (2023),reply
109506608507413021,enmodo,mastodon.social,109304278224165576,2023-10-14T07:42:18.000Z,Snapshot 2 — Post Settling (2023),reply
109945164741281610,CosmicTraveler,mastodon.social,109300001370825260,2023-10-11T01:07:41.000Z,Snapshot 2 — Post Settling (2023),reply
109308471611512781,intermobility,toot.community,109240783791185300,2023-10-05T20:46:28.000Z,Snapshot 2 — Post Settling (2023),reply
109347539858252951,ChemicalEyeGuy,mstdn.science,109298427888540757,2023-09-26T09:06:55.000Z,Snapshot 2 — Post Settling (2023),reply
109347539858252951,ChemicalEyeGuy,mstdn.science,109365893871423317,2023-09-23T15:06:36.000Z,Snapshot 2 — Post Settling (2023),reply
109349583631021751,duncan_blues,norden.social,11809,2023-09-23T09:40:51.000Z,Snapshot 2 — Post Settling (2023),reply
109370975994483121,bronakins,sfba.social,109257521325526664,2023-03-27T02:44:12.000Z,Snapshot 2 — Post Settling (2023),reply
109441374214983712,jbm,ohai.social,109287392407352396,2022-12-02T22:36:16.000Z,Snapshot 1 — Peak Exodus (Oct–Dec 2022),reply
109293316357852095,CJP,mastodon.me.uk,109320706963624876,2023-09-09T10:15:29.000Z,Snapshot 2 — Post Settling (2023),reply
109331157989614402,Jon6705,mastodon.world,109411454620395039,2023-07-24T11:04:15.000Z,Snapshot 2 — Post Settling (2023),reply
109377643401108803,etis,masto.ai,109320728038563846,2023-07-01T18:24:54.000Z,Snapshot 2 — Post Settling (2023),reply
109324112711347979,iamwahl,mastodon.social,109298057196449296,2022-11-26T19:22:59.000Z,Snapshot 1 — Peak Exodus (Oct–Dec 2022),reply
109375190912412489,Sgtwilson,mastodon.world,109303738084949257,2022-11-20T11:42:21.000Z,Snapshot 1 — Peak Exodus (Oct–Dec 2022),reply
109375190912412489,Sgtwilson,mastodon.world,109307663280505590,2022-11-20T12:16:15.000Z,Snapshot 1 — Peak Exodus (Oct–Dec 2022),reply
109298887918957192,jonpainterphoto,lawfedi.blue,50157,2022-11-18T03:14:16.000Z,Snapshot 1 — Peak Exodus (Oct–Dec 2022),reply
5347,dennis_jernberg,mastodon.xyz,108885476867758347,2022-11-18T02:12:23.000Z,Snapshot 1 — Peak Exodus (Oct–Dec 2022),reply
115802393005021705,noodlemaz,mstdn.games,109399783257498743,2026-01-09T17:55:49.000Z,Snapshot 3 — Current State (2024–2026),reply
109260064825708607,sebiturbo,muenchen.social,113719697350283127,2024-12-27T08:31:28.000Z,Snapshot 3 — Current State (2024–2026),reply
109327301211598518,CGM,mastodon.scot,110272491925611241,2024-11-13T15:17:18.000Z,Snapshot 3 — Current State (2024–2026),reply
